Classifier,Metaparameters,Word Representation,Preprocessing,F1 Score,Train Time,Test time
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 2}",MeanEmbeddingMapper,AllPreprocess,0.5024394713120044,0.006999969482421875,0.0645143985748291
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 1}",MeanEmbeddingMapper,AllPreprocess,0.518314755463743,0.007999420166015625,0.4600520133972168
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 2}",MeanEmbeddingMapper,AllPreprocess,0.500852883408697,0.007999897003173828,0.04400062561035156
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 1}",MeanEmbeddingMapper,AllPreprocess,0.48573680185915663,0.0069997310638427734,0.4755892753601074
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 2}",MeanEmbeddingMapper,AllPreprocess,0.46914480155309574,0.007999181747436523,0.06552815437316895
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 1}",MeanEmbeddingMapper,AllPreprocess,0.5079747746092972,0.007999897003173828,0.46655941009521484
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 2}",MeanEmbeddingMapper,AllPreprocess,0.4775712741544469,0.0069997310638427734,0.04400038719177246
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 1}",MeanEmbeddingMapper,AllPreprocess,0.5266030721090537,0.008001327514648438,0.4904470443725586
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 2}",MeanEmbeddingMapper,AllPreprocess,0.5127031271020472,0.007539987564086914,0.06651043891906738
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 1}",MeanEmbeddingMapper,AllPreprocess,0.5176378361591514,0.008002042770385742,0.4557368755340576
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 2}",MeanEmbeddingMapper,AllPreprocess,0.5201281068971365,0.008999109268188477,0.05751347541809082
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 1}",MeanEmbeddingMapper,AllPreprocess,0.5341913002391531,0.008002042770385742,0.48360395431518555
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 2}",MeanEmbeddingMapper,AllPreprocess,0.5250400541371536,0.007999897003173828,0.06600356101989746
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 1}",MeanEmbeddingMapper,AllPreprocess,0.5272077330877871,0.007503509521484375,0.4811513423919678
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 2}",MeanEmbeddingMapper,AllPreprocess,0.51457510321834,0.009999752044677734,0.04552340507507324
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 1}",CountMeanEmbeddingMapper,AllPreprocess,0.570103882172445,0.00799870491027832,0.5165653228759766
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 2}",CountMeanEmbeddingMapper,AllPreprocess,0.5420031370304532,0.006999969482421875,0.07161545753479004
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 1}",CountMeanEmbeddingMapper,AllPreprocess,0.5628044314414377,0.009000062942504883,0.47956204414367676
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 2}",CountMeanEmbeddingMapper,AllPreprocess,0.5431883859559755,0.007999897003173828,0.04500460624694824
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 1}",CountMeanEmbeddingMapper,AllPreprocess,0.5416023444807854,0.008506298065185547,0.4919247627258301
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 2}",CountMeanEmbeddingMapper,AllPreprocess,0.5200589964967312,0.008503437042236328,0.07349348068237305
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 1}",CountMeanEmbeddingMapper,AllPreprocess,0.5430098569895315,0.007999897003173828,0.46254825592041016
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 2}",CountMeanEmbeddingMapper,AllPreprocess,0.5245718970546256,0.007999897003173828,0.04151749610900879
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 1}",CountMeanEmbeddingMapper,AllPreprocess,0.5525386772919815,0.006999492645263672,0.4957313537597656
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 2}",CountMeanEmbeddingMapper,AllPreprocess,0.5351018470066089,0.007999897003173828,0.06751060485839844
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 1}",CountMeanEmbeddingMapper,AllPreprocess,0.5518091660801475,0.007999420166015625,0.4860870838165283
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 2}",CountMeanEmbeddingMapper,AllPreprocess,0.5407339815737139,0.007999420166015625,0.05500078201293945
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 1}",CountMeanEmbeddingMapper,AllPreprocess,0.5638949264819958,0.008502483367919922,0.5834345817565918
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 2}",CountMeanEmbeddingMapper,AllPreprocess,0.5407564516750072,0.008507966995239258,0.08900308609008789
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 1}",CountMeanEmbeddingMapper,AllPreprocess,0.5584856600219874,0.008511543273925781,0.5603625774383545
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 2}",CountMeanEmbeddingMapper,AllPreprocess,0.5406569606401618,0.008005380630493164,0.06051301956176758
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 1}",MeanEmbeddingMapper,StopWordsPreprocess,0.517945995833231,0.005968332290649414,0.4900987148284912
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 2}",MeanEmbeddingMapper,StopWordsPreprocess,0.5117145973298644,0.007999897003173828,0.0679311752319336
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 1}",MeanEmbeddingMapper,StopWordsPreprocess,0.524131267268639,0.007999420166015625,0.531055212020874
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 2}",MeanEmbeddingMapper,StopWordsPreprocess,0.5166096683376665,0.00902867317199707,0.06201887130737305
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 1}",MeanEmbeddingMapper,StopWordsPreprocess,0.4902809122383885,0.008992910385131836,0.5403721332550049
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 2}",MeanEmbeddingMapper,StopWordsPreprocess,0.49874876261041656,0.008000612258911133,0.086517333984375
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 1}",MeanEmbeddingMapper,StopWordsPreprocess,0.5026384409594853,0.008000850677490234,0.48305511474609375
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 2}",MeanEmbeddingMapper,StopWordsPreprocess,0.5038532145793778,0.008885860443115234,0.050570011138916016
